"polygons.SIMPLE_NAME","polygons.MAIN_ROCK","polygons.UNIT_CODE","polygons.DESCRIPTION","polygons.MAP_UNIT","polygons.groupID_AhdiAK"
"Basement (Eastern Province) igneous rocks","basalt","Khr","Pillowed and massive flows of basalt and basaltic andesite, interbedded with rhyolitic tuff and tuff-breccia."," ","18_crystalline"
"Basement (Eastern Province) sedimentary rocks","sandstone","Kht","Well bedded sandstone and mudstone, in places as broken formation.  Locally includes conglomerate, breccia, and mudstone."," ","15_undifSed"
"Allochthonous rocks","peridotite","Kts","Partly and wholly serpentinised peridotite at North Cape."," ","18_crystalline"
"Allochthonous rocks","gabbro","Ktm","Layered and massive plutonic gabbro, overthrust over Surville Serpentinite."," ","18_crystalline"
"Allochthonous rocks","basalt","Ktb","Basaltic pillow lava and pillow breccia, with sills and dikes of basalt and dolerite."," ","18_crystalline"
"Neogene sedimentary rocks","sandstone","Mpt","Basal shelly breccia overlain by mudstone and muddy sandstone, with minor tuff and lapilli tuff."," ","15_undifSed"
"Neogene igneous rocks","granitoid","Mck","Plutons of quartz monzonite to adamellite and diorite to quartz monzodiorite. Microdiorite near North Cape."," ","18_crystalline"
"Holocene windblown deposits","sand","Q1dm","Loose sand in mobile dunes","mobile dunes","11_loess"
"Late Pleistocene - Holocene estuary, river and swamp deposits","sand","Q1a","Unconsolidated to poorly consolidated sand, peat, mud and shell deposits (estuarine, lacustrine, swamp, alluvial and colluvial).","estuarine, swamp and alluvial","15_undifSed"
"Neogene sedimentary rocks","conglomerate","Mpk","Poorly bedded sandstone and coglomerate derived from Coromandel Group volcanoes."," ","15_undifSed"
"Early Pleistocene - Middle Pleistocene windblown deposits","sand","eQdf","Uncemented to moderately cemented and partly consolidated sand in coastal foredunes.  Clay-rich sandy soils.","consolidated coastal dunes","11_loess"
"Neogene sedimentary rocks","sandstone","Mppp","Muddy fine-grained sandstone with pebble to boulder conglomerate, pebbly sandstone and pebbly mudstone."," ","15_undifSed"
"Early Pleistocene - Middle Pleistocene undifferentiated estuary, river and swamp deposits","sand","eQa","Partly consolidated sand, mud and peat of estuarine, swamp, alluvial and colluvial origins.","estuarine, swamp and alluvial","15_undifSed"
"water"," ","water"," "," ","00_WATER"
"Neogene sedimentary rocks","sandstone","Pat","Partly consolidated sandstone and mudstone of high terraces","higher alluvial terraces","16_terrace"
"Neogene sedimentary rocks","sand","Pad","Cemented dune sands and associated facies","cemented dune and interdune","09_beachBarDune"
